Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I23013,antiproliferative,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23014,cerebral cortex,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.761984,,,,,,,,,
I23015,Acquired Long Qt Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23016,cholesterol,,,,,,,,,,,,
I23017,PPARG,JASPAR Predicted Transcription Factor Targets,1,null,,,,,,,,,
I23018,hoxb4,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23019,ets2,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23020,mRNA_RXRA_19796622,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,,,,,,,,,
I23021,H3K4me3_CH12.LX_mm9_5,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I23022,NCI-H2291,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I23023,occur,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23024,beta,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23025,LNX1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23026,systemic lupus erythematosus,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.325916,,,,,,,,,
I23027,Diagnosis,,,,,,,,,,,,
I23028,mammillary body,,,,,,,,,,,,
I23029,Pheochromocytoma and Paraganglioma_PCPG_TCGA-TT-A6YO-01A-11R-A35L-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I23030,BACH1,CHEA Transcription Factor Targets,1,null,,,,,,,,,
I23031,PSMB8,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23032,Atrial Fibrillation,CTD Gene-Disease Associations,1,2.38498,,,,,,,,,
I23033,cell part,COMPARTMENTS Curated Protein Localization Evidence Scores,1,0.237908,,,,,,,,,
I23034,difference,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23035,Liver Failure,,,,,,,,,,,,
I23036,shrnamediated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23037,stem,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.559254,,,,,,,,,
I23038,elevated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23039,extent,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23040,Chronic Sinusitis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23041,cassette,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23042,KIAA0922,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23043,egr1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23044,supports,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23045,Epilepsy,,,,,,,,,,,,
I23046,mesothelioma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.175738,,,,,,,,,
I23047,severe,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23048,RMUG-S,Klijn et al.,,,,,,,,,,,
I23049,Epileptic Seizures,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I23050,tyms,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23051,mitotic cell cycle phase transition,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I23052,end,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23053,chronic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23054,GEMIN5,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23055,LK2,Achilles Cell Line Gene Essentiality Profiles,1,1.23369,,,,,,,,,
I23056,NCI-H1993,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I23057,whether,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23058,pesticideinduced,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23059,emergence,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23060,immunoblots,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23061,BRD-K92428232_GSK-461364_A375_24_h_10_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I23062,Leukemia,,,,,,,,,,,,
I23063,GTEX-R55C-0008-SM-48FCF,GTEx Tissue Sample Gene Expression Profiles,-1,-0.885307,,,,,,,,,
I23064,Drug-Induced Acute Liver Injury,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23065,diseaselike,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23066,GTEX-PLZ5-0326-SM-3P614,GTEx Tissue Sample Gene Expression Profiles,1,2.23856,,,,,,,,,
I23067,dimethyl-4,,,,"2'-dicarboxylate	CTD Gene-Chemical Interactions	1.0	null",,,,,,,,
I23068,GTEX-P44H-0011-R1A-SM-3NM8J,GTEx Tissue Sample Gene Expression Profiles,1,0.922937,,,,,,,,,
I23069,GTEX-X4XX-0008-SM-46MVK,GTEx Tissue Sample Gene Expression Profiles,-1,-1.46595,,,,,,,,,
I23070,Bladder Urothelial Carcinoma_BLCA_TCGA-GC-A3BM-11A-11R-A22U-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I23071,frontal pole,,,,,,,,,,,,
I23072,Secondary Malignant Neoplasm Of Liver,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23073,Influenza,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23074,POLR2A_MCF-7_hg19_2,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I23075,codeine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23076,fractioned,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23077,acute coronary syndrome,GAD Gene-Disease Associations,1,null,,,,,,,,,
I23078,alzheimers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23079,OSC-20,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I23080,Movement Disorders,CTD Gene-Disease Associations,1,2.50499,,,,,,,,,
I23081,MRGBP,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23082,Lenalidomide,DrugBank Drug Targets,1,null,,,,,,,,,
I23083,destabilizing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23084,multiple myeloma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.52635,,,,,,,,,
I23085,maturation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23086,established,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23087,number,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23088,adrenal gland,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.640428,,,,,,,,,
I23089,GTEX-RUSQ-0226-SM-47JWT,GTEx Tissue Sample Gene Expression Profiles,1,2.07346,,,,,,,,,
I23090,GTEX-U3ZH-0008-SM-4DXT2,GTEx Tissue Sample Gene Expression Profiles,-1,-0.940845,,,,,,,,,
I23091,Peritonitis,CTD Gene-Disease Associations,1,1.04647,,,,,,,,,
I23092,indicates,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23093,ibd,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23094,Terfenadine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I23095,Chemically-Induced Liver Toxicity,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23096,EB2,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I23097,O-Deethylated candesartan,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I23098,Vasculature-artery endothelial cell,Tabula Sapiens Gene-Cell Associations,1,1.37639,,,,,,,,,
I23099,Glucose Intolerance,CTD Gene-Disease Associations,1,2.13878,,,,,,,,,
I23100,skeletal muscle,HPA Tissue Gene Expression Profiles,-1,-2.02589,,,,,,,,,
I23101,Generalized Absence Seizures,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I23102,norathyriol,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I23103,H3K27me3_brain_mm9_1,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I23104,creatine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23105,ERBB2IP,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23106,GTEX-N7MT-0011-R7a-SM-2I3FZ,GTEx Tissue Sample Gene Expression Profiles,1,1.12962,,,,,,,,,
I23107,Azathioprine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I23108,cervical cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.663555,,,,,,,,,
I23109,III,,,,,,,,,,,,
I23110,alzheimer disease; alzheimer's disease; amnesia,GAD Gene-Disease Associations,1,null,,,,,,,,,
I23111,GTEX-XBED-2626-SM-4E3J5,GTEx Tissue Sample Gene Expression Profiles,-1,-1.02982,,,,,,,,,
I23112,ADNP,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23113,GTEX-TKQ2-0008-SM-4DM5L,GTEx Tissue Sample Gene Expression Profiles,-1,-1.08059,,,,,,,,,
I23114,medial mammillary nucleus,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.958379,,,,,,,,,
I23115,BRD-K38483076_-666_HCC515_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I23116,Cytarabine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I23117,gabapentin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I23118,substitution,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23119,BRD-K96799727_-666_PL21_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I23120,delta9thc,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23121,Dapiprazole,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I23122,manipulation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23123,hippocampus (hippocampal formation)_12 pcw_F_13060,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-0.888695,,,,,,,,,
I23124,Dactinomycin,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I23125,HCC1599,Klijn et al.,,,,,,,,,,,
I23126,BRD-K02113016_olaparib_HA1E_24_h_0.04_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I23127,bodys,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23128,chromosome,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.353662,,,,,,,,,
I23129,abnormal eosinophil morphology,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I23130,depot,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23131,urogenital system,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.2696,,,,,,,,,
I23132,increased granulocyte number,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I23133,vulnerability,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23134,JUN,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23135,bosutinib,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23136,clone,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23137,inflammation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23138,fasting,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23139,iron,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23140,GTEX-P78B-0008-SM-48TE1,GTEx Tissue Sample Gene Expression Profiles,-1,-1.88861,,,,,,,,,
I23141,BRD-K24156250_NCGC00182393-01_A549_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I23142,animal,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.75919,,,,,,,,,
I23143,provides,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23144,EPC1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23145,lymphocytes,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23146,plasma membrane,COMPARTMENTS Curated Protein Localization Evidence Scores,1,0.237908,,,,,,,,,
I23147,Hemiplegia,CTD Gene-Disease Associations,1,1.20881,,,,,,,,,
I23148,adult,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.18379,,,,,,,,,
I23149,glioma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.842867,,,,,,,,,
I23150,Hemolysis,CTD Gene-Disease Associations,1,1.972,,,,,,,,,
I23151,H3K4me1_brown adipose tissue_mm9_1,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I23152,cloning,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23153,inhibits,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23154,Fatty Liver Disease,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I23155,ZNF586,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23156,erlotinib,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23157,epicatechin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23158,unmask,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23159,Liver Neoplasms,CTD Gene-Disease Associations,1,2.51112,,,,,,,,,
I23160,il10,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23161,Status Epilepticus,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23162,contact,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23163,onfh,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23164,Liver hepatocellular carcinoma_LIHC_TCGA-G3-A5SL-01A-11R-A27V-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I23165,foxa2_20483781_p15_lung_lof_mouse_gpl1261_gse19204,GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations,-1,-0.624921,,,,,,,,,
I23166,artery disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.090511,,,,,,,,,
I23167,glia,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.02162,,,,,,,,,
I23168,BRD-A45498368_WYE-125132_MDAMB231_3_h_10_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I23169,CA46,Klijn et al.,,,,,,,,,,,
I23170,colitis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23171,Gastrointestinal Diseases,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I23172,temporally,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23173,hepatotoxicity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23174,portal vein,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.257572,,,,,,,,,
I23175,Vascular Insufficiency Of Intestine,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23176,AQP11_Deficiency_GDS3395_578_mouse_Kidney,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,,,,,,,,,
I23177,H3K4me3_megakaryocyte_mm9_2,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I23178,Colchicine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I23179,etiracetam,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I23180,detection,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23181,Hyperoxaluria,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23182,suit-2 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.287803,,,,,,,,,
I23183,dose-response-relationship-drug,Phosphosite Textmining Biological Term Annotations,1,null,,,,,,,,,
I23184,inferolateral temporal cortex (area TEv,,,,,,,,,,,,
I23185,Diarrhea,CTD Gene-Disease Associations,1,2.5221,,,,,,,,,
I23186,hypopharyngeal squamous cell carcinoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.485545,,,,,,,,,
I23187,valspodar,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I23188,Vasculitis,CTD Gene-Disease Associations,1,2.12576,,,,,,,,,
I23189,superficial layers of olfactory entorhinal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.00025,,,,,,,,,
I23190,peripheral,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23191,GTEX-QLQ7-1726-SM-2S1QQ,GTEx Tissue Sample Gene Expression Profiles,-1,-0.899364,,,,,,,,,
I23192,primary,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23193,G44,Klijn et al.,,,,,,,,,,,
I23194,positive regulation of anion channel activity,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I23195,GTEX-QLQ7-0008-SM-447AW,GTEx Tissue Sample Gene Expression Profiles,-1,-1.13635,,,,,,,,,
I23196,PMC3103151__F1,Wikipathways PFOCR,1,null,,,,,,,,,
I23197,intracellular membrane-bounded organelle,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.26762,,,,,,,,,
I23198,eocppc,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23199,KMT2A,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I23200,adenocarcinomas,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23201,20215513-TableS3,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I23202,Colonic Neoplasms,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I23203,administration,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23204,inferior,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23205,PPARGC1A_NULL MUTATION_GDS2149_721_mouse_Brown adipocyte,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,,,,,,,,,
I23206,Arthritis,,,,,,,,,,,,
I23207,tgfb1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23208,caspase8,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23209,bcell,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23210,Leukemia,,,,,,,,,,,,
I23211,VZ in caudal entorhinal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.84681,,,,,,,,,
I23212,mdr,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23213,propiconazole,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I23214,Progesterone,DrugBank Drug Targets,1,null,,,,,,,,,
I23215,imbalance,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23216,metabolize,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23217,GTEX-XGQ4-0008-SM-4AT3Z,GTEx Tissue Sample Gene Expression Profiles,-1,-0.901706,,,,,,,,,
I23218,single-organism transport,GO Biological Process Annotations,1,null,,,,,,,,,
I23219,progenitors,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23220,hct-8 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.95988,,,,,,,,,
I23221,L-Valyl-L-phenylalanine,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I23222,drug dependence,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.128136,,,,,,,,,
I23223,Erythroleukemia (Erythroid/Myeloid),DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23224,confirmed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23225,adhesion,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23226,Nizatidine,DrugBank Drug Targets,1,null,,,,,,,,,
I23227,bile duct carcinoma,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.428516,,,,,,,,,
I23228,SW837,GDSC Cell Line Gene Expression Profiles,1,1.50696,,,,,,,,,
I23229,ethnicity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23230,BRD-U07805514_saracatinib_HEPG2_24_h_1.11_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I23231,Necrosis,CTD Gene-Disease Associations,1,2.5686,,,,,,,,,
I23232,degree,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23233,meaningful,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23234,specifically,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23235,polyposis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23236,Adult Erythroleukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23237,Lymphoma,,,,,,,,,,,,
I23238,blastula,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.730208,,,,,,,,,
I23239,GTEX-XOTO-0008-SM-4GICE,GTEx Tissue Sample Gene Expression Profiles,-1,-1.36396,,,,,,,,,
I23240,Prednisone,DrugBank Drug Targets,1,null,,,,,,,,,
I23241,Chromosome Aberrations,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I23242,Shock,CTD Gene-Disease Associations,1,1.507,,,,,,,,,
I23243,Kernicterus,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I23244,Cerebellar Ataxia,CTD Gene-Disease Associations,1,1.45115,,,,,,,,,
I23245,male reproductive gland,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.893496,,,,,,,,,
I23246,osteonecrosis,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.739082,,,,,,,,,
I23247,17660535-TableS4b,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I23248,thyroid,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23249,16-hbe14o cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.512171,,,,,,,,,
I23250,GTEX-Q2AG-0008-SM-48U2K,GTEx Tissue Sample Gene Expression Profiles,-1,-1.00652,,,,,,,,,
I23251,vesicle,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23252,Epilepsy,,,,,,,,,,,,
I23253,BRD-K83972459_JWE-035_HCC515_24_h_0.04_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I23254,t-lymphoblastoid cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.479312,,,,,,,,,
I23255,BRD-K66254772_-666_SKB_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I23256,abnormal gamma-delta t cell number,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I23257,conformation,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23258,manner,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23259,mediated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I23260,Hyperalgesia,CTD Gene-Disease Associations,1,2.32476,,,,,,,,,
I419425,SG in midlateral temporal cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.95185,,,,,,,,,
I419426,over,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
