Patient ID,association,dataset,threshold value,standardized value
I17964,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17965,COSMIC Cell Line Gene Mutation Profiles,1,null,
I17966,GeneRIF Biological Term Annotations,1,null,
I17967,HPA Tissue Gene Expression Profiles,1,1.65065,
I17968,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17969,,,,
I17970,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17971,CHEA Transcription Factor Binding Site Profiles,1,null,
I17972,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17973,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17974,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17975,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17976,GeneSigDB Published Gene Signatures,1,null,
I17977,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17978,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.112442,
I17979,,,,
I17980,GTEx Tissue Sample Gene Expression Profiles,1,0.90403,
I17981,TargetScan Predicted Conserved microRNA Targets,1,0.997906,
I17982,GeneRIF Biological Term Annotations,1,null,
I17983,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17984,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17985,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I17986,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I17987,COSMIC Cell Line Gene Mutation Profiles,1,null,
I17988,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17989,KnockTF Gene Expression Profiles with Transcription Factor Perturbations,1,2.73151,
I17990,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17991,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,-1,null,
I17992,GTEx Tissue Sample Gene Expression Profiles,-1,-0.883313,
I17993,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17994,GTEx Tissue Sample Gene Expression Profiles,-1,-1.02616,
I17995,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.843778,
I17996,GO Molecular Function Annotations,1,null,
I17997,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I17998,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I17999,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18000,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I18001,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18002,CCLE Cell Line Gene CNV Profiles,-1,-2.06906,
I18003,Klijn et al.,,,
I18004,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18005,Pathway Commons Protein-Protein Interactions,1,null,
I18006,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18007,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I18008,ENCODE Transcription Factor Binding Site Profiles,1,null,
I18009,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18010,GTEx Tissue Sample Gene Expression Profiles,1,1.09495,
I18011,,,,
I18012,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18013,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18014,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I18015,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I18016,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.461,
I18017,GeneRIF Biological Term Annotations,1,null,
I18018,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18019,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18020,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18021,COSMIC Cell Line Gene Mutation Profiles,1,null,
I18022,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18023,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18024,COSMIC Cell Line Gene Mutation Profiles,1,null,
I18025,Pathway Commons Protein-Protein Interactions,1,null,
I18026,GTEx Tissue Sample Gene Expression Profiles,-1,-1.04636,
I18027,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18028,,,,
I18029,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.542963,
I18030,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I18031,TargetScan Predicted Conserved microRNA Targets,1,0.670641,
I18032,GeneRIF Biological Term Annotations,1,null,
I18033,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18034,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18035,ENCODE Transcription Factor Targets,1,null,
I18036,GTEx Tissue Sample Gene Expression Profiles,1,1.06277,
I18037,GO Molecular Function Annotations,1,null,
I18038,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18039,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18040,Pathway Commons Protein-Protein Interactions,1,null,
I18041,JASPAR Predicted Transcription Factor Targets,1,null,
I18042,GTEx Tissue Sample Gene Expression Profiles,1,1.28402,
I18043,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18044,DisGeNET Gene-Phenotype Associations,1,null,
I18045,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18046,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18047,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18048,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I18049,,,,
I18050,LOCATE Predicted Protein Localization Annotations,1,null,
I18051,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18052,GeneRIF Biological Term Annotations,1,null,
I18053,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18054,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18055,GTEx Tissue Sample Gene Expression Profiles,-1,-0.908663,
I18056,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,0.829833,
I18057,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18058,GTEx Tissue Sample Gene Expression Profiles,-1,-0.825159,
I18059,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18060,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18061,CHEA Transcription Factor Binding Site Profiles,1,null,
I18062,Klijn et al.,,,
I18063,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18064,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18065,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.84361,
I18066,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18067,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18068,CHEA Transcription Factor Targets,1,null,
I18069,COSMIC Cell Line Gene CNV Profiles,1,2.39327,
I18070,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18071,,,,
I18072,ENCODE Transcription Factor Binding Site Profiles,1,null,
I18073,DisGeNET Gene-Disease Associations,1,null,
I18074,GTEx Tissue Sample Gene Expression Profiles,1,1.2905,
I18075,Klijn et al.,,,
I18076,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.436438,
I18077,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18078,Pathway Commons Protein-Protein Interactions,1,null,
I18079,GTEx Tissue Sample Gene Expression Profiles,-1,-1.33698,
I18080,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.125968,
I18081,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I18082,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I18083,ENCODE Histone Modification Site Profiles,1,null,
I18084,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18085,,,,
I18086,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18087,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.16605,
I18088,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I18089,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18090,TargetScan Predicted Nonconserved microRNA Targets,1,0.809003,
I18091,Pathway Commons Protein-Protein Interactions,1,null,
I18092,GTEx Tissue Sample Gene Expression Profiles,1,1.10437,
I18093,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18094,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18095,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18096,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18097,,,,
I18098,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I18099,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18100,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18101,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18102,GO Biological Process Annotations 2023,1,null,
I18103,ENCODE Histone Modification Site Profiles,1,null,
I18104,GeneRIF Biological Term Annotations,1,null,
I18105,CHEA Transcription Factor Targets,1,null,
I18106,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18107,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I18108,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18109,Pathway Commons Protein-Protein Interactions,1,null,
I18110,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.63339,
I18111,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18112,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I18113,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I18114,GEO Signatures of Differentially Expressed Genes for Diseases,1,1.49771,
I18115,CHEA Transcription Factor Targets,1,null,
I18116,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18117,CHEA Transcription Factor Targets,1,null,
I18118,CCLE Cell Line Gene CNV Profiles,1,1.63586,
I18119,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I18120,ENCODE Histone Modification Site Profiles,1,null,
I18121,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18122,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18123,Pathway Commons Protein-Protein Interactions,1,null,
I18124,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18125,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18126,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18127,ENCODE Transcription Factor Binding Site Profiles,1,null,
I18128,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.655024,
I18129,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18130,Klijn et al.,,,
I18131,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18132,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18133,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18134,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18135,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.234016,
I18136,GTEx Tissue Sample Gene Expression Profiles,1,1.00896,
I18137,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18138,Pathway Commons Protein-Protein Interactions,1,null,
I18139,Pathway Commons Protein-Protein Interactions,1,null,
I18140,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18141,Pathway Commons Protein-Protein Interactions,1,null,
I18142,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18143,GTEx Tissue Sample Gene Expression Profiles,1,1.01959,
I18144,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18145,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18146,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I18147,GTEx Tissue Sample Gene Expression Profiles,-1,-1.06372,
I18148,GTEx Tissue Sample Gene Expression Profiles,1,0.847901,
I18149,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18150,Klijn et al.,,,
I18151,CHEA Transcription Factor Binding Site Profiles,1,null,
I18152,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18153,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18154,KnockTF Gene Expression Profiles with Transcription Factor Perturbations,1,4.04367,
I18155,CTD Gene-Disease Associations,1,1.06188,
I18156,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18157,BioGPS Human Cell Type and Tissue Gene Expression Profiles,1,0.928952,
I18158,,,,
I18159,GTEx Tissue Sample Gene Expression Profiles,-1,-1.19991,
I18160,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18161,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,
I18162,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I18163,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18164,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18165,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,2.17601,
I18166,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.149124,
I18167,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.828369,
I18168,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I18169,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.06879,
I18170,ENCODE Transcription Factor Binding Site Profiles,1,null,
I18171,GTEx Tissue Sample Gene Expression Profiles,1,1.53371,
I18172,Pathway Commons Protein-Protein Interactions,1,null,
I18173,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
